节点数量,训练准确率,测试准确率
0,0.92463,0.9226
1,0.9247,0.9227
2,0.92472,0.9224
2,0.92472,0.9224
3,0.92472,0.9224
4,0.92473,0.9224
5,0.92478,0.9216
5,0.92478,0.9216
5,0.92478,0.9216
5,0.92478,0.9216
5,0.92478,0.9216
6,0.92453,0.9217
7,0.92478,0.9218
8,0.92508,0.9221
8,0.92508,0.9221
8,0.92508,0.9221
9,0.92512,0.9229
9,0.92512,0.9229
9,0.92512,0.9229
9,0.92512,0.9229
10,0.92515,0.9226
11,0.92545,0.9229
12,0.92548,0.9229
12,0.92548,0.9229
13,0.9254,0.9229
14,0.9256,0.9222
15,0.92593,0.9234
15,0.92593,0.9234
15,0.92593,0.9234
16,0.92607,0.9233
17,0.92607,0.9233
17,0.92607,0.9233
18,0.92595,0.9238
19,0.92592,0.9237
20,0.92592,0.9237
21,0.92605,0.9238
22,0.92608,0.9239
23,0.92608,0.9239
23,0.92608,0.9239
24,0.9261,0.9239
24,0.9261,0.9239
25,0.92615,0.9239
25,0.92615,0.9239
26,0.92608,0.9241
27,0.92612,0.9242
27,0.92612,0.9242
27,0.92612,0.9242
27,0.92612,0.9242
27,0.92612,0.9242
28,0.92617,0.9239
28,0.92617,0.9239
29,0.92607,0.9243
29,0.92607,0.9243
30,0.92615,0.9243
30,0.92615,0.9243
31,0.926,0.9231
31,0.926,0.9231
32,0.926,0.9231
33,0.92608,0.9228
34,0.92608,0.9229
35,0.9262,0.9229
36,0.9262,0.9229
37,0.92618,0.923
38,0.92657,0.9229
39,0.92655,0.9229
40,0.92647,0.9231
41,0.92642,0.9231
42,0.92632,0.9221
43,0.92637,0.9222
44,0.92637,0.9228
45,0.92645,0.923
46,0.92675,0.9238
46,0.92675,0.9238
47,0.92653,0.9236
48,0.9266,0.9231
49,0.92673,0.923
49,0.92673,0.923
50,0.92672,0.923
50,0.92672,0.923
50,0.92672,0.923
51,0.92672,0.923
52,0.92672,0.9231
52,0.92672,0.9231
53,0.92672,0.9231
54,0.92665,0.9228
55,0.92655,0.9229
55,0.92655,0.9229
55,0.92655,0.9229
56,0.92708,0.9224
57,0.92677,0.9226
58,0.92713,0.9232
59,0.92702,0.9233
60,0.92703,0.9235
61,0.92692,0.9233
62,0.92685,0.9233
62,0.92685,0.9233
63,0.92687,0.9234
63,0.92687,0.9234
64,0.92713,0.9237
64,0.92713,0.9237
64,0.92713,0.9237
65,0.92713,0.9237
66,0.92717,0.9237
66,0.92717,0.9237
67,0.92715,0.9237
68,0.9272,0.9229
